Observation,1 min,4 weeks,Difference
1,10245.00,9618.00,627.00
2,16620.00,13250.00,3370.00
3,17300.00,14720.00,2580.00
4,15999.00,12482.00,3517.00
5,12970.00,10120.00,2850.00
6,17260.00,14570.00,2690.00
7,13400.00,11220.00,2180.00
8,13514.00,11123.00,2391.00
9,13630.00,11420.00,2210.00
10,13260.00,10910.00,2350.00
11,14370.00,12110.00,2260.00
12,11529.00,8968.00,2561.00
13,15470.00,12590.00,2880.00
14,17840.00,15090.00,2750.00
15,14070.00,10550.00,3520.00
16,14732.00,12595.00,2137.00
